序号,模块,检查项,通过标准,结果（通过/不通过/不适用）,责任人,备注
1,基础信息,图号、名称、版本、日期完整,标题栏字段无空缺，版本与项目资料和采购资料一致,,,
2,基础信息,单位、比例、投影法明确,单位为毫米，模型一比一，投影法标识清楚,,,
3,基础信息,材料、热处理、表面处理明确,牌号、状态、硬度、膜厚、颜色、遮蔽要求可执行,,,
4,视图表达,主视图选择合理,能表达制造和检验基准，避免重复或缺失视图,,,
5,视图表达,剖视和局部详图足够,内部台阶、孔深、槽形、沉孔等表达清楚,,,
6,视图表达,隐藏线使用受控,不因隐藏线造成误读，必要时改用剖视,,,
7,尺寸,尺寸链完整且不重复冲突,加工可依图完成，不依赖口头解释,,,
8,尺寸,关键功能尺寸可识别,甲级和乙级特性有编号或符号,,,
9,尺寸,孔、槽、台阶标注完整,孔径、深度、沉孔、倒角、螺纹有效深度齐全,,,
10,基准,设计基准甲、乙、丙已定义,基准来自功能面或孔组，不随意选加工装夹面,,,
11,几何公差,位置度、平面度、垂直度等与功能匹配,关键孔组、定位面、接口面使用几何公差控制,,,
12,几何公差,基准引用顺序合理,一级、二级、三级基准反映装配定位逻辑,,,
13,几何公差,公差修饰符使用正确,最大实体、最小实体和独立原则与检具、装配间隙、功能需求一致,,,
14,一般公差,标题栏一般公差适用范围明确,未注特征不会被过严或过松解释,,,
15,表面,粗糙度要求合理,定位面、滑动面、接触面单独标注，非功能面不过度要求,,,
16,工艺,焊后和热后加工要求明确,工艺顺序不会导致变形后关键面失控,,,
17,工艺,倒角、去毛刺、清洁要求明确,不会伤害产品接触面或装配面,,,
18,标准件,外购件型号和替代规则明确,品牌、型号、数量、替代审批要求清楚,,,
19,检验,首件检验项目覆盖关键特性,关键尺寸、几何公差、材料、处理均在首件报告中体现,,,
20,检验,测量方法可执行,普通量具、三坐标、通止规、粗糙度仪要求明确,,,
21,电子文件,图层、字体、线型符合标准,无乱码，无非打印层误出图,,,
22,电子文件,只读图纸与可编辑文件一致,只读图纸可读，线宽、图框、标题栏一致,,,
23,版本,修订栏记录充分,变更原因、范围、变更单号、责任人完整,,,
24,发布,供应商交付物要求明确,图纸、零件清单、三维参考模型、首件报告、证书、包装要求齐全,,,
