编号,类别,标准注释,适用场景,供应商动作
通用-001,通用,未注单位为毫米，模型空间按一比一绘制。,所有加工图,不得自行缩放模型几何
通用-002,通用,未注锐边倒钝0.2至0.5毫米，去毛刺，清除飞边。,机加工件,完工前全检可触及边缘
通用-003,通用,未注圆角0.5毫米；与功能要求冲突时以单独标注为准。,板件和块件,不得影响装配贴合
材料-001,材料,材料按标题栏及零件清单要求执行，代料必须书面批准。,所有零件,提交材质证明或炉批号
热处-001,热处理,热处理后加工基准面及关键孔，硬度按图纸要求检验。,淬硬件和调质件,提交硬度记录
表处-001,表面处理,表面处理前需确认遮蔽面、导电面、定位面和螺纹保护。,发黑、阳极、镀镍等零件,提交处理报告和外观照片
焊接-001,焊接,焊后去应力并按图加工基准面；焊缝不得干涉装配。,焊接底架和支座,焊后尺寸自检
孔-001,孔,螺纹孔需倒角，使用通止规检验；盲孔深度应满足有效螺纹深度要求。,螺纹孔,提交螺纹检验记录
定位-001,定位,定位销孔、衬套孔、基准面为关键特性，按图纸几何公差和首件要求检验。,夹具定位结构,百分之百实测并记录
检验-001,检验,检验坐标系按图纸基准甲、乙、丙建立；不得用加工装夹面替代设计基准。,三坐标检测,提交检测程序坐标截图
交付-001,交付,交付文件必须包含图纸、可编辑文件、材料记录、热处理记录、表面处理记录和首件报告。,供应商出货,按交付清单打包
变更-001,变更,任何偏离图纸的制造方案、代料、补焊、扩孔、返修需提交偏离申请。,异常处理,获得批准后方可继续
装配-001,装配,与产品接触面不得有尖角、毛刺、凹坑和污染物。,定位块和压紧块,包装前清洁防护
标识-001,标识,零件应按图号、版本、数量标识，标识不得位于功能面。,多件交付,外箱和零件双重标识
包装-001,包装,精密面、定位销孔、螺纹孔需防锈、防磕碰、防异物进入。,所有发货,提供包装照片
